survived,pclass,sex,age,sibsp,parch,fare,embarked,alone,age_fare_ratio,is_high_fare
1,1,male,28.0,0,0,35.5,S,True,0.7887323943661971,True
1,2,female,21.0,0,0,10.5,S,True,2.0,False
0,3,male,28.5,0,0,7.2292,C,True,3.942344934432579,False
1,2,female,5.0,1,2,27.75,S,False,0.18018018018018017,False
0,3,male,11.0,5,2,46.9,S,False,0.2345415778251599,True
0,3,male,22.0,0,0,7.2292,C,True,3.0432136335970785,False
1,1,female,38.0,0,0,80.0,S,True,0.475,True
0,1,male,45.0,1,0,83.475,S,False,0.5390835579514826,True
0,3,male,4.0,3,2,27.9,S,False,0.14336917562724016,False
0,1,male,28.0,0,0,27.7208,C,True,1.0100718593979972,False
1,3,male,28.0,1,1,15.2458,C,False,1.8365713835941704,False
1,2,female,29.0,0,0,10.5,S,True,2.761904761904762,False
0,3,male,19.0,0,0,8.1583,S,True,2.3289165634997486,False
1,3,female,17.0,4,2,7.925,S,False,2.145110410094637,False
0,3,male,26.0,2,0,8.6625,S,False,3.0014430014430014,False
0,2,male,32.0,0,0,10.5,S,True,3.0476190476190474,False
0,3,female,16.0,5,2,46.9,S,False,0.3411513859275053,True
0,2,male,21.0,0,0,73.5,S,True,0.2857142857142857,True
0,3,male,26.0,1,0,14.4542,C,False,1.7987851281980325,False
1,3,male,32.0,0,0,56.4958,S,True,0.5664137865115637,True
0,3,male,25.0,0,0,7.65,S,True,3.2679738562091503,False
0,3,male,28.0,0,0,7.8958,S,True,3.5461891131994223,False
0,3,male,28.0,0,0,8.05,S,True,3.4782608695652173,False
1,2,male,0.83,0,2,29.0,S,False,0.028620689655172414,False
1,3,female,30.0,0,0,12.475,S,True,2.404809619238477,False
0,3,male,22.0,0,0,9.0,S,True,2.4444444444444446,False
1,3,male,29.0,0,0,9.5,S,True,3.0526315789473686,False
1,3,female,28.0,0,0,7.7875,Q,True,3.5955056179775284,False
0,1,male,28.0,0,0,47.1,S,True,0.5944798301486199,True
1,2,female,17.0,0,0,10.5,S,True,1.619047619047619,False
1,3,female,33.0,3,0,15.85,S,False,2.082018927444795,False
0,3,male,16.0,1,3,34.375,S,False,0.46545454545454545,True
0,3,male,28.0,0,0,8.05,S,True,3.4782608695652173,False
1,1,female,23.0,3,2,263.0,S,False,0.08745247148288973,True
0,3,male,24.0,0,0,8.05,S,True,2.981366459627329,False
0,3,male,29.0,0,0,8.05,S,True,3.602484472049689,False
0,3,male,20.0,0,0,7.8542,S,True,2.546408291105396,False
0,1,male,46.0,1,0,61.175,S,False,0.7519411524315489,True
0,3,male,26.0,1,2,20.575,S,False,1.2636695018226003,False
0,3,male,59.0,0,0,7.25,S,True,8.137931034482758,False
0,3,male,28.0,0,0,8.05,S,True,3.4782608695652173,False
0,1,male,71.0,0,0,34.6542,C,True,2.048813708006533,True
1,1,male,23.0,0,1,63.3583,C,False,0.3630147904852245,True
1,2,female,34.0,0,1,23.0,S,False,1.4782608695652173,False
0,2,male,34.0,1,0,26.0,S,False,1.3076923076923077,False
0,3,female,28.0,0,0,7.8958,S,True,3.5461891131994223,False
0,3,male,28.0,0,0,7.8958,S,True,3.5461891131994223,False
0,1,male,21.0,0,1,77.2875,S,False,0.27171276079573026,True
0,3,male,33.0,0,0,8.6542,S,True,3.8131774167456265,False
0,3,male,37.0,2,0,7.925,S,False,4.668769716088328,False
0,3,male,28.0,0,0,7.8958,S,True,3.5461891131994223,False
1,3,female,21.0,0,0,7.65,S,True,2.7450980392156863,False
1,3,male,28.0,0,0,7.775,S,True,3.6012861736334405,False
0,3,male,38.0,0,0,7.8958,S,True,4.8126852250563585,False
1,3,female,28.0,1,0,24.15,Q,False,1.1594202898550725,False
0,1,male,47.0,0,0,52.0,S,True,0.9038461538461539,True
0,3,female,14.5,1,0,14.4542,C,False,1.0031686291873643,False
0,3,male,22.0,0,0,8.05,S,True,2.732919254658385,False
0,3,female,20.0,1,0,9.825,S,False,2.035623409669211,False
0,3,female,17.0,0,0,14.4583,C,True,1.1757952179716842,False
0,3,male,21.0,0,0,7.925,S,True,2.6498422712933754,False
0,3,male,70.5,0,0,7.75,Q,True,9.096774193548388,False
0,2,male,29.0,1,0,21.0,S,False,1.380952380952381,False
0,1,male,24.0,0,1,247.5208,C,False,0.09696154828200296,True
0,3,female,2.0,4,2,31.275,S,False,0.0639488409272582,False
0,2,male,21.0,2,0,73.5,S,False,0.2857142857142857,True
0,3,male,28.0,0,0,8.05,S,True,3.4782608695652173,False
0,2,male,32.5,1,0,30.0708,C,False,1.0807826861939158,False
1,2,female,32.5,0,0,13.0,S,True,2.5,False
0,1,male,54.0,0,1,77.2875,S,False,0.6986899563318778,True
1,3,male,12.0,1,0,11.2417,C,False,1.0674542106620886,False
0,3,male,28.0,0,0,7.75,Q,True,3.6129032258064515,False
1,3,male,24.0,0,0,7.1417,S,True,3.3605444081941274,False
1,3,female,28.0,1,1,22.3583,C,False,1.2523313489844934,False
0,3,male,45.0,0,0,6.975,S,True,6.451612903225807,False
0,3,male,33.0,0,0,7.8958,C,True,4.17943716912789,False
0,3,male,20.0,0,0,7.05,S,True,2.8368794326241136,False
0,3,female,47.0,1,0,14.5,S,False,3.2413793103448274,False
1,2,female,29.0,1,0,26.0,S,False,1.1153846153846154,False
0,2,male,25.0,0,0,13.0,S,True,1.9230769230769231,False
0,2,male,23.0,0,0,15.0458,C,True,1.5286658070690824,False
1,1,female,19.0,0,2,26.2833,S,False,0.7228924830595853,False
0,1,male,37.0,1,0,53.1,S,False,0.6967984934086628,True
0,3,male,16.0,0,0,9.2167,S,True,1.7359792550479023,False
0,1,male,24.0,0,0,79.2,C,True,0.30303030303030304,True
0,3,female,28.0,0,2,15.2458,C,False,1.8365713835941704,False
1,3,female,22.0,0,0,7.75,S,True,2.838709677419355,False
1,3,female,24.0,1,0,15.85,S,False,1.5141955835962146,False
0,3,male,19.0,0,0,6.75,Q,True,2.814814814814815,False
0,2,male,18.0,0,0,11.5,S,True,1.565217391304348,False
0,2,male,19.0,1,1,36.75,S,False,0.5170068027210885,True
1,3,male,27.0,0,0,7.7958,S,True,3.4634033710459478,False
0,3,female,9.0,2,2,34.375,S,False,0.26181818181818184,True
0,2,male,36.5,0,2,26.0,S,False,1.4038461538461537,False
0,2,male,42.0,0,0,13.0,S,True,3.230769230769231,False
0,2,male,51.0,0,0,12.525,S,True,4.07185628742515,False
1,1,female,22.0,1,0,66.6,S,False,0.3303303303303304,True
0,3,male,55.5,0,0,8.05,S,True,6.894409937888198,False
0,3,male,40.5,0,2,14.5,S,False,2.793103448275862,False
0,3,male,28.0,0,0,7.3125,S,True,3.8290598290598292,False
0,1,male,51.0,0,1,61.3792,C,False,0.8309003701579689,True
1,3,female,16.0,0,0,7.7333,Q,True,2.068974435234635,False
0,3,male,30.0,0,0,8.05,S,True,3.726708074534161,False
0,3,male,28.0,0,0,8.6625,S,True,3.2323232323232323,False
0,3,male,28.0,8,2,69.55,S,False,0.402588066139468,True
0,3,male,44.0,0,1,16.1,S,False,2.732919254658385,False
1,2,female,40.0,0,0,15.75,S,True,2.5396825396825395,False
0,3,male,26.0,0,0,7.775,S,True,3.3440514469453375,False
0,3,male,17.0,0,0,8.6625,S,True,1.9624819624819625,False
0,3,male,1.0,4,1,39.6875,S,False,0.025196850393700787,True
1,3,male,9.0,0,2,20.525,S,False,0.438489646772229,False
1,1,female,28.0,0,1,55.0,S,False,0.509090909090909,True
0,3,female,45.0,1,4,27.9,S,False,1.6129032258064517,False
0,1,male,28.0,0,0,25.925,S,True,1.0800385728061717,False
0,3,male,28.0,0,0,56.4958,S,True,0.4956120631976182,True
0,1,male,61.0,0,0,33.5,S,True,1.8208955223880596,True
0,3,male,4.0,4,1,29.125,Q,False,0.13733905579399142,False
1,3,female,1.0,1,1,11.1333,S,False,0.08982062820547367,False
0,3,male,21.0,0,0,7.925,S,True,2.6498422712933754,False
0,1,male,56.0,0,0,30.6958,C,True,1.8243538203923664,False
0,3,male,18.0,1,1,7.8542,S,False,2.2917674619948563,False
0,3,male,28.0,3,1,25.4667,S,False,1.0994750006871719,False
0,1,female,50.0,0,0,28.7125,C,True,1.74140182847192,False
0,2,male,30.0,0,0,13.0,S,True,2.3076923076923075,False
0,3,male,36.0,0,0,0.0,S,True,inf,False
0,3,female,28.0,8,2,69.55,S,False,0.402588066139468,True
0,2,male,28.0,0,0,15.05,C,True,1.8604651162790697,False
0,3,male,9.0,4,2,31.3875,S,False,0.2867383512544803,False
1,2,male,1.0,2,1,39.0,S,False,0.02564102564102564,True
1,3,female,4.0,0,2,22.025,S,False,0.1816118047673099,False
0,1,male,28.0,0,0,50.0,S,True,0.56,True
1,3,female,28.0,1,0,15.5,Q,False,1.8064516129032258,False
1,1,male,45.0,0,0,26.55,S,True,1.694915254237288,False
0,3,male,40.0,1,1,15.5,Q,False,2.5806451612903225,False
0,3,male,36.0,0,0,7.8958,S,True,4.559386002684971,False
1,2,female,32.0,0,0,13.0,S,True,2.4615384615384617,False
0,2,male,19.0,0,0,13.0,S,True,1.4615384615384615,False
1,3,female,19.0,1,0,7.8542,S,False,2.419087876550126,False
1,2,male,3.0,1,1,26.0,S,False,0.11538461538461539,False
1,1,female,44.0,0,0,27.7208,C,True,1.5872557790539956,False
1,1,female,58.0,0,0,146.5208,C,True,0.395848234516874,True
0,3,male,28.0,0,0,7.75,Q,True,3.6129032258064515,False
0,3,male,42.0,0,1,8.4042,S,False,4.997501249375313,False
1,3,female,28.0,0,0,7.75,Q,True,3.6129032258064515,False
0,2,female,24.0,0,0,13.0,S,True,1.8461538461538463,False
0,3,male,28.0,0,0,9.5,S,True,2.9473684210526314,False
0,3,male,28.0,8,2,69.55,S,False,0.402588066139468,True
0,3,male,34.0,0,0,6.4958,S,True,5.23415129776163,False
0,3,male,45.5,0,0,7.225,C,True,6.297577854671281,False
1,3,male,18.0,0,0,8.05,S,True,2.2360248447204967,False
0,3,female,2.0,0,1,10.4625,S,False,0.19115890083632017,False
0,3,male,32.0,1,0,15.85,S,False,2.0189274447949526,False
1,3,male,26.0,0,0,18.7875,C,True,1.383898868928809,False
1,3,female,16.0,0,0,7.75,Q,True,2.064516129032258,False
1,1,male,40.0,0,0,31.0,C,True,1.2903225806451613,False
0,3,male,24.0,0,0,7.05,S,True,3.404255319148936,False
1,2,female,35.0,0,0,21.0,S,True,1.6666666666666667,False
0,3,male,22.0,0,0,7.25,S,True,3.0344827586206895,False
0,2,male,30.0,0,0,13.0,S,True,2.3076923076923075,False
0,3,male,28.0,1,0,7.75,Q,False,3.6129032258064515,False
1,1,female,31.0,1,0,113.275,C,False,0.2736702714632531,True
1,3,female,27.0,0,0,7.925,S,True,3.406940063091483,False
0,2,male,42.0,1,0,27.0,S,False,1.5555555555555556,False
1,1,female,32.0,0,0,76.2917,C,True,0.41944274409929255,True
0,2,male,30.0,0,0,10.5,S,True,2.857142857142857,False
1,3,male,16.0,0,0,8.05,S,True,1.9875776397515525,False
0,2,male,27.0,0,0,13.0,S,True,2.076923076923077,False
0,3,male,51.0,0,0,8.05,S,True,6.335403726708074,False
0,3,male,28.0,0,0,7.8958,S,True,3.5461891131994223,False
1,1,male,38.0,1,0,90.0,S,False,0.4222222222222222,True
0,3,male,22.0,0,0,9.35,S,True,2.3529411764705883,False
1,2,male,19.0,0,0,10.5,S,True,1.8095238095238095,False
0,3,male,20.5,0,0,7.25,S,True,2.8275862068965516,False
0,2,male,18.0,0,0,13.0,S,True,1.3846153846153846,False
0,3,female,28.0,3,1,25.4667,S,False,1.0994750006871719,False
1,1,female,35.0,1,0,83.475,S,False,0.41928721174004197,True
0,3,male,29.0,0,0,7.775,S,True,3.729903536977492,False
0,2,male,59.0,0,0,13.5,S,True,4.37037037037037,False
1,3,female,5.0,4,2,31.3875,S,False,0.15929908403026682,False
0,2,male,24.0,0,0,10.5,S,True,2.2857142857142856,False
0,3,female,28.0,0,0,7.55,S,True,3.708609271523179,False
0,2,male,44.0,1,0,26.0,S,False,1.6923076923076923,False
1,2,female,8.0,0,2,26.25,S,False,0.3047619047619048,False
0,2,male,19.0,0,0,10.5,S,True,1.8095238095238095,False
0,2,male,33.0,0,0,12.275,S,True,2.6883910386965377,False
0,3,female,28.0,1,0,14.4542,C,False,1.9371532149824964,False
1,3,female,28.0,1,0,15.5,Q,False,1.8064516129032258,False
0,2,male,29.0,0,0,10.5,S,True,2.761904761904762,False
0,3,male,22.0,0,0,7.125,S,True,3.087719298245614,False
0,3,male,30.0,0,0,7.225,C,True,4.152249134948097,False
0,1,male,44.0,2,0,90.0,Q,False,0.4888888888888889,True
0,3,female,25.0,0,0,7.775,S,True,3.215434083601286,False
1,2,female,24.0,0,2,14.5,S,False,1.6551724137931034,False
1,1,male,37.0,1,1,52.5542,S,False,0.7040350723633886,True
0,2,male,54.0,1,0,26.0,S,False,2.076923076923077,False
0,3,male,28.0,0,0,7.25,S,True,3.8620689655172415,False
0,3,female,29.0,1,1,10.4625,S,False,2.771804062126643,False
0,1,male,62.0,0,0,26.55,S,True,2.335216572504708,False
0,3,male,30.0,1,0,16.1,S,False,1.8633540372670805,False
0,3,female,41.0,0,2,20.2125,S,False,2.0284477427334573,False
1,3,female,29.0,0,2,15.2458,C,False,1.9021632187225335,False
1,1,female,28.0,0,0,79.2,C,True,0.35353535353535354,True
1,1,female,30.0,0,0,86.5,S,True,0.3468208092485549,True
1,1,female,35.0,0,0,512.3292,C,True,0.06831545030031472,True
1,2,female,50.0,0,1,26.0,S,False,1.9230769230769231,False
0,3,male,28.0,0,0,7.75,Q,True,3.6129032258064515,False
1,3,male,3.0,4,2,31.3875,S,False,0.0955794504181601,False
0,1,male,52.0,1,1,79.65,S,False,0.652856246076585,True
0,1,male,40.0,0,0,0.0,S,True,inf,False
0,3,female,28.0,0,0,7.75,Q,True,3.6129032258064515,False
0,2,male,36.0,0,0,10.5,S,True,3.4285714285714284,False
0,3,male,16.0,4,1,39.6875,S,False,0.4031496062992126,True
1,3,male,25.0,1,0,7.775,S,False,3.215434083601286,False
1,1,female,58.0,0,1,153.4625,S,False,0.37794249409464853,True
1,1,female,35.0,0,0,135.6333,S,True,0.25804872402278795,True
0,1,male,28.0,0,0,31.0,S,True,0.9032258064516129,False
1,3,male,25.0,0,0,0.0,S,True,inf,False
1,2,female,41.0,0,1,19.5,S,False,2.1025641025641026,False
0,1,male,37.0,0,1,29.7,C,False,1.245791245791246,False
1,3,female,28.0,0,0,7.75,Q,True,3.6129032258064515,False
1,1,female,63.0,1,0,77.9583,S,False,0.8081243433989711,True
0,3,female,45.0,0,0,7.75,S,True,5.806451612903226,False
0,2,male,28.0,0,0,0.0,S,True,inf,False
0,3,male,7.0,4,1,29.125,Q,False,0.24034334763948498,False
1,3,female,35.0,1,1,20.25,S,False,1.728395061728395,False
0,3,male,65.0,0,0,7.75,Q,True,8.387096774193548,False
0,3,male,28.0,0,0,7.8542,S,True,3.5649716075475544,False
0,3,male,16.0,0,0,9.5,S,True,1.6842105263157894,False
1,3,male,19.0,0,0,8.05,S,True,2.3602484472049685,False
0,1,male,28.0,0,0,26.0,S,True,1.0769230769230769,False
0,3,male,33.0,0,0,8.6625,C,True,3.8095238095238098,False
1,3,male,30.0,0,0,9.5,S,True,3.1578947368421053,False
0,3,male,22.0,0,0,7.8958,S,True,2.7862914460852606,False
1,2,male,42.0,0,0,13.0,S,True,3.230769230769231,False
1,3,female,22.0,0,0,7.75,Q,True,2.838709677419355,False
1,1,female,26.0,0,0,78.85,S,True,0.3297400126823082,True
1,1,female,19.0,1,0,91.0792,C,False,0.20860964962362427,True
0,2,male,36.0,0,0,12.875,C,True,2.796116504854369,False
0,3,female,24.0,0,0,8.85,S,True,2.7118644067796613,False
0,3,male,24.0,0,0,7.8958,S,True,3.039590668456648,False
0,1,male,28.0,0,0,27.7208,C,True,1.0100718593979972,False
0,3,male,23.5,0,0,7.2292,C,True,3.250705472251425,False
0,1,female,2.0,1,2,151.55,S,False,0.013196964698119432,True
1,1,male,28.0,0,0,30.5,S,True,0.9180327868852459,False
1,1,female,50.0,0,1,247.5208,C,False,0.20200322558750616,True
1,3,female,28.0,0,0,7.75,Q,True,3.6129032258064515,False
1,3,male,28.0,2,0,23.25,Q,False,1.2043010752688172,False
0,3,male,19.0,0,0,0.0,S,True,inf,False
1,2,female,28.0,0,0,12.35,Q,True,2.2672064777327936,False
0,3,male,28.0,0,0,8.05,S,True,3.4782608695652173,False
1,1,male,0.92,1,2,151.55,S,False,0.006070603761134939,True
1,1,female,28.0,0,0,110.8833,C,True,0.25251773711640974,True
1,1,female,17.0,1,0,108.9,C,False,0.15610651974288337,True
0,2,male,30.0,1,0,24.0,C,False,1.25,False
1,1,female,30.0,0,0,56.9292,C,True,0.5269703421091461,True
1,1,female,24.0,0,0,83.1583,C,True,0.2886061884381956,True
1,1,female,18.0,2,2,262.375,C,False,0.06860409718913768,True
0,2,female,26.0,1,1,26.0,S,False,1.0,False
0,3,male,28.0,0,0,7.8958,S,True,3.5461891131994223,False
0,2,male,43.0,1,1,26.25,S,False,1.638095238095238,False
1,3,female,26.0,0,0,7.8542,S,True,3.310330778437015,False
1,2,female,24.0,1,0,26.0,S,False,0.9230769230769231,False
0,2,male,54.0,0,0,14.0,S,True,3.857142857142857,False
1,1,female,31.0,0,2,164.8667,S,False,0.18803069388785,True
1,1,female,40.0,1,1,134.5,C,False,0.29739776951672864,True
0,3,male,22.0,0,0,7.25,S,True,3.0344827586206895,False
0,3,male,27.0,0,0,7.8958,S,True,3.4195395020137287,False
1,2,female,30.0,0,0,12.35,Q,True,2.4291497975708505,False
1,2,female,22.0,1,1,29.0,S,False,0.7586206896551724,False
0,3,male,28.0,8,2,69.55,S,False,0.402588066139468,True
1,1,female,36.0,0,0,135.6333,C,True,0.2654215447091533,True
0,3,male,61.0,0,0,6.2375,S,True,9.779559118236474,False
1,2,female,36.0,0,0,13.0,S,True,2.769230769230769,False
1,3,female,31.0,1,1,20.525,S,False,1.510353227771011,False
1,1,female,16.0,0,1,57.9792,C,False,0.27596103430195656,True
1,3,female,28.0,2,0,23.25,Q,False,1.2043010752688172,False
0,1,male,45.5,0,0,28.5,S,True,1.5964912280701755,False
0,1,male,38.0,0,1,153.4625,S,False,0.2476174961309766,True
0,3,male,16.0,2,0,18.0,S,False,0.8888888888888888,False
1,1,female,28.0,1,0,133.65,S,False,0.20950243172465394,True
0,3,male,28.0,0,0,7.8958,S,True,3.5461891131994223,False
0,1,male,29.0,1,0,66.6,S,False,0.43543543543543545,True
1,1,female,41.0,0,0,134.5,C,True,0.3048327137546468,True
1,3,male,45.0,0,0,8.05,S,True,5.590062111801242,False
0,1,male,45.0,0,0,35.5,S,True,1.267605633802817,True
1,2,male,2.0,1,1,26.0,S,False,0.07692307692307693,False
1,1,female,24.0,3,2,263.0,S,False,0.09125475285171103,True
0,2,male,28.0,0,0,13.0,S,True,2.1538461538461537,False
0,2,male,25.0,0,0,13.0,S,True,1.9230769230769231,False
0,2,male,36.0,0,0,13.0,S,True,2.769230769230769,False
1,2,female,24.0,0,0,13.0,S,True,1.8461538461538463,False
1,2,female,40.0,0,0,13.0,S,True,3.076923076923077,False
1,3,female,28.0,1,0,16.1,S,False,1.7391304347826086,False
1,3,male,3.0,1,1,15.9,S,False,0.18867924528301885,False
0,3,male,42.0,0,0,8.6625,S,True,4.848484848484849,False
0,3,male,23.0,0,0,9.225,S,True,2.4932249322493227,False
0,1,male,28.0,0,0,35.0,S,True,0.8,True
0,3,male,15.0,1,1,7.2292,C,False,2.074918386543463,False
0,3,male,25.0,1,0,17.8,S,False,1.4044943820224718,False
0,3,male,28.0,0,0,7.225,C,True,3.8754325259515574,False
0,3,male,28.0,0,0,9.5,S,True,2.9473684210526314,False
1,1,female,22.0,0,1,55.0,S,False,0.4,True
0,2,female,38.0,0,0,13.0,S,True,2.923076923076923,False
1,3,female,28.0,0,0,7.8792,Q,True,3.5536602700781805,False
1,3,female,28.0,0,0,7.8792,Q,True,3.5536602700781805,False
0,3,male,40.0,1,4,27.9,S,False,1.4336917562724014,False
0,2,male,29.0,1,0,27.7208,C,False,1.046145854376497,False
0,3,female,45.0,0,1,14.4542,C,False,3.1132819526504405,False
0,3,male,35.0,0,0,7.05,S,True,4.964539007092199,False
0,3,male,28.0,1,0,15.5,Q,False,1.8064516129032258,False
0,3,male,30.0,0,0,7.25,S,True,4.137931034482759,False
1,1,female,60.0,1,0,75.25,C,False,0.7973421926910299,True
1,3,female,28.0,0,0,7.2292,C,True,3.8731809882144637,False
1,3,female,28.0,0,0,7.75,Q,True,3.6129032258064515,False
1,1,female,24.0,0,0,69.3,C,True,0.34632034632034636,True
1,1,male,25.0,1,0,55.4417,C,False,0.4509241238995197,True
0,3,male,18.0,1,0,6.4958,S,False,2.771021275285569,False
0,3,male,19.0,0,0,8.05,S,True,2.3602484472049685,False
0,1,male,22.0,0,0,135.6333,C,True,0.16220205510003813,True
0,3,female,3.0,3,1,21.075,S,False,0.1423487544483986,False
1,1,female,28.0,1,0,82.1708,C,False,0.3407536497149839,True
1,3,female,22.0,0,0,7.25,S,True,3.0344827586206895,False
0,1,male,27.0,0,2,211.5,C,False,0.1276595744680851,True
0,3,male,20.0,0,0,4.0125,C,True,4.984423676012461,False
0,3,male,19.0,0,0,7.775,S,True,2.4437299035369775,False
1,1,female,42.0,0,0,227.525,C,True,0.18459509943962202,True
1,3,female,1.0,0,2,15.7417,C,False,0.06352554044353532,False
0,3,male,32.0,0,0,7.925,S,True,4.037854889589905,False
1,1,female,35.0,1,0,52.0,S,False,0.6730769230769231,True
0,3,male,28.0,0,0,7.8958,S,True,3.5461891131994223,False
0,2,male,18.0,0,0,73.5,S,True,0.24489795918367346,True
0,3,male,1.0,5,2,46.9,S,False,0.021321961620469083,True
1,2,female,36.0,0,0,13.0,S,True,2.769230769230769,False
0,3,male,28.0,0,0,7.7292,Q,True,3.6226258862495473,False
1,2,female,17.0,0,0,12.0,C,True,1.4166666666666667,False
1,1,male,36.0,1,2,120.0,S,False,0.3,True
1,3,male,21.0,0,0,7.7958,S,True,2.6937581774801815,False
0,3,male,28.0,2,0,7.925,S,False,3.5331230283911674,False
1,1,female,23.0,1,0,113.275,C,False,0.20304568527918782,True
1,3,female,24.0,0,2,16.7,S,False,1.437125748502994,False
0,3,male,22.0,0,0,7.7958,S,True,2.8220323764078095,False
0,3,female,31.0,0,0,7.8542,S,True,3.9469328512133637,False
0,2,male,46.0,0,0,26.0,S,True,1.7692307692307692,False
0,2,male,23.0,0,0,10.5,S,True,2.1904761904761907,False
1,2,female,28.0,0,0,12.65,S,True,2.2134387351778657,False
1,3,male,39.0,0,0,7.925,S,True,4.921135646687698,False
0,3,male,26.0,0,0,8.05,S,True,3.229813664596273,False
0,3,female,21.0,1,0,9.825,S,False,2.1374045801526718,False
0,3,male,28.0,1,0,15.85,S,False,1.7665615141955837,False
0,3,female,20.0,0,0,8.6625,S,True,2.308802308802309,False
0,2,male,34.0,1,0,21.0,S,False,1.619047619047619,False
0,3,male,51.0,0,0,7.75,S,True,6.580645161290323,False
1,2,male,3.0,1,1,18.75,S,False,0.16,False
0,3,male,21.0,0,0,7.775,S,True,2.70096463022508,False
0,3,female,28.0,3,1,25.4667,S,False,1.0994750006871719,False
0,3,male,28.0,0,0,7.8958,S,True,3.5461891131994223,False
0,3,male,28.0,0,0,6.8583,Q,True,4.082644387093011,False
1,1,female,33.0,1,0,90.0,Q,False,0.36666666666666664,True
0,2,male,28.0,0,0,0.0,S,True,inf,False
1,3,male,44.0,0,0,7.925,S,True,5.55205047318612,False
0,3,female,28.0,0,0,8.05,S,True,3.4782608695652173,False
1,2,female,34.0,1,1,32.5,S,False,1.0461538461538462,True
1,2,female,18.0,0,2,13.0,S,False,1.3846153846153846,False
0,2,male,30.0,0,0,13.0,S,True,2.3076923076923075,False
0,3,female,10.0,0,2,24.15,S,False,0.4140786749482402,False
0,3,male,28.0,0,0,7.8958,C,True,3.5461891131994223,False
0,3,male,21.0,0,0,7.7333,Q,True,2.715528946245458,False
